"site_code","year","ID","latitude","longitude","site_name","ecoregion","realm","area","SumTSAfull","Buffer10Km","HumanPopDensity","IUCN_CAT","IUCN_Ia","STATUS_YR","MPA","sampling_effort","sr","Reg_BS_BM_pvalue","Reg_BS_BM_coef","rho_bs_tl","rho_bs_tl_pvalue","cwm_size"
"ARG13",2012,"ARG13_2012",-41.94308,-65.05764,"Alejos Crack","North Patagonian Gulfs","Temperate South America","Rio Negro",88.8000000000001,0,5.0212927019142,"V",0,1998,1,2,5,0.522323367727978,0.891572226884284,0.7,0.188120404374187,77.8698848303137
"BALI2",2009,"BALI2_2009",-8.27729,115.59446,"Paradise House reef","Lesser Sunda","Central Indo-Pacific","Bali",65.86,1,507.496061461683,"",0,NA,0,3,132,1.30497702130497e-13,0.65740377364656,-0.0227008626893226,0.796124682639115,20.1613316536921
"BALI2",2012,"BALI2_2012",-8.27729,115.59446,"Paradise House reef","Lesser Sunda","Central Indo-Pacific","Bali",65.86,1,507.496061461683,"",0,NA,0,3,133,8.21017437138192e-17,0.697630864724654,0.110259392369381,0.206435956125298,8.571111889256
"BALI2",2014,"BALI2_2014",-8.27729,115.59446,"Paradise House reef","Lesser Sunda","Central Indo-Pacific","Bali",65.86,1,507.496061461683,"",0,NA,0,4,149,5.80478253743083e-15,0.633569901840212,0.0118597398567073,0.885853914064788,7.28706785797996
"BMP-S10",2008,"BMP-S10_2008",-35.75012,150.26204,"Shark Gutter NE Tollgates","Cape Howe","Temperate Australasia","New South Wales",114.78,0,33.1170145946273,"II",0,2006,1,2,40,0.015490472522248,0.412094802169847,0.18581274913785,0.250989572197041,90.8357501841755
"BMP-S11",2010,"BMP-S11_2010",-35.75073,150.25915,"Tollgates Outer Mid Bay","Cape Howe","Temperate Australasia","New South Wales",114.78,0,33.1249166171799,"II",0,2006,1,2,35,1.84449245151625e-07,0.907262317021053,0.0303628679510583,0.862537269665492,71.5518267591346
"BMP-S13",2010,"BMP-S13_2010",-35.85507,150.19207,"Broulee North","Cape Howe","Temperate Australasia","New South Wales",131.58,0,35.9334571440166,"II",0,2006,1,2,27,0.0351101202665436,0.397112445456673,0.0199327469045997,0.921390631730048,28.8908279902598
"BMP-S13",2012,"BMP-S13_2012",-35.85507,150.19207,"Broulee North","Cape Howe","Temperate Australasia","New South Wales",131.58,0,35.9334571440166,"II",0,2006,1,2,29,0.00229784827252093,0.533429102813371,-0.103727044353063,0.592328689103458,41.978683090984
"BMP-S14",2010,"BMP-S14_2010",-35.83457,150.20885,"West Longnose Point","Cape Howe","Temperate Australasia","New South Wales",109.81,0,34.9104870379944,"VI",0,2006,1,2,25,0.038572897901152,0.328146642300534,0.212866694167235,0.306964165952601,8.4117552059136
"BMP-S14",2011,"BMP-S14_2011",-35.83457,150.20885,"West Longnose Point","Cape Howe","Temperate Australasia","New South Wales",109.81,0,34.9104870379944,"VI",0,2006,1,2,20,0.000284433456711212,0.633346274744447,0.1657902540215,0.484830877314074,23.1821677570779
"BMP-S15",2010,"BMP-S15_2010",-35.83132,150.23347,"Burrewarra Point","Cape Howe","Temperate Australasia","New South Wales",109.81,0,37.7563455765525,"II",0,2006,1,2,31,0.154733958144526,0.267708027675743,0.298271531713496,0.103143248780465,69.3469221557845
"BMP-S16",2008,"BMP-S16_2008",-35.81672,150.2343,"Jimmies Island","Cape Howe","Temperate Australasia","New South Wales",98.55,0,36.2293743757022,"IV",0,2006,1,3,35,0.00154232625599225,0.695546837353361,-0.120774587881831,0.489503157778767,53.4633524068393
"BMP-S16",2010,"BMP-S16_2010",-35.81672,150.2343,"Jimmies Island","Cape Howe","Temperate Australasia","New South Wales",98.55,0,36.2293743757022,"IV",0,2006,1,2,39,0.0279085867530338,0.438998154739521,0.205111381140329,0.210346362328257,24.5981435154346
"BMP-S17",2010,"BMP-S17_2010",-35.80453,150.23347,"Pretty Point","Cape Howe","Temperate Australasia","New South Wales",98.55,0,35.2144181681001,"IV",0,2006,1,2,37,0.000184431019898816,0.571417051321986,0.0834132653302751,0.623550028429594,28.5912101803324
"BMP-S19",2011,"BMP-S19_2011",-35.72235,150.27454,"North Head","Cape Howe","Temperate Australasia","New South Wales",166.41,0,30.3337663979257,"II",0,2018,0,2,26,0.0012271588767118,0.453554344547718,0.173123454325081,0.397687708073005,15.1035278906421
"BMP-S20",2011,"BMP-S20_2011",-35.7203,150.24789,"Acron Ledge","Cape Howe","Temperate Australasia","New South Wales",166.41,0,27.6056694198769,"IV",0,2006,1,2,21,0.0173274003970435,0.558126979645977,-0.122676836165485,0.596278201363423,61.4281241661732
"BMP-S22",2009,"BMP-S22_2009",-35.78389,150.23465,"Garden Point","Cape Howe","Temperate Australasia","New South Wales",164.23,0,33.7274135068306,"IV",0,2006,1,2,28,0.00219657574733416,0.775474070581799,-0.091597940199072,0.642956373663125,77.4990670601572
"BMP-S22",2011,"BMP-S22_2011",-35.78389,150.23465,"Garden Point","Cape Howe","Temperate Australasia","New South Wales",164.23,0,33.7274135068306,"IV",0,2006,1,2,24,2.5760009465364e-05,0.859047203375452,-0.0721243274744861,0.737693127490331,55.996099996032
